title,release_year,budget_tier,franchise,franchise_size,distributor_tier,sequel,director_brand,family_appeal,is_action,is_scifi,is_superhero,is_comedy,is_animation,is_drama,is_horror,box_office_worldwide
Wedding Crashers,2005,1,0,0,2,0,0,0,0,0,0,1,0,0,0,466872356
Ted,2012,1,0,0,2,0,0,0,0,0,0,1,0,0,0,779661755
Strays,2023,0,0,0,2,0,0,0,0,0,0,1,0,0,0,38019041
The Happytime Murders,2018,0,0,0,2,0,0,0,1,0,0,1,0,0,1,35265830
Step Brothers,2008,1,0,0,2,0,0,0,0,0,0,1,0,0,0,191559609
Horrible Bosses,2011,1,0,0,2,0,0,0,0,0,0,1,0,0,0,304021800
The Hangover Part II,2011,1,1,1,2,1,0,0,0,0,0,1,0,0,0,839803950
21 Jump Street,2012,1,1,1,2,0,0,0,1,0,0,1,0,0,0,284389147
We're the Millers,2013,1,0,0,2,0,0,0,0,0,0,1,0,0,0,370117985
The Devil Wears Prada,2006,1,0,0,2,0,0,0,0,0,0,1,0,1,0,520719096
The Intern,2015,1,0,0,2,0,0,0,0,0,0,1,0,1,0,267744605
Cruella,2021,1,1,1,2,0,0,0,0,0,0,1,0,1,0,268287888
Morning Glory,2010,1,0,0,2,0,0,0,0,0,0,1,0,1,0,88282846
13 Going on 30,2004,1,0,0,2,0,0,0,0,0,0,1,0,1,0,100228375
27 Dresses,2008,1,0,0,2,0,0,0,0,0,0,1,0,1,0,239618858
Second Act,2018,0,0,0,2,0,0,0,0,0,0,1,0,1,0,92687852
Ocean's 8,2018,1,1,1,2,1,0,0,1,0,0,0,0,1,0,381703636
Thank You for Smoking,2005,0,0,0,1,0,0,0,0,0,0,1,0,1,0,65965613
Mortal Kombat,2021,1,1,2,2,0,0,0,1,0,0,0,0,0,1,100307671
Tomb Raider,2018,1,1,1,2,0,0,0,1,0,0,0,0,0,0,352513018
Uncharted,2022,1,1,1,2,0,0,0,1,0,0,0,0,0,0,447886686
Five Nights at Freddy's,2023,0,1,1,2,0,0,0,0,0,0,0,0,0,1,314061043
