title,release_year,budget_tier,franchise,franchise_size,distributor_tier,sequel,director_brand,family_appeal,is_action,is_scifi,is_superhero,is_comedy,is_animation,is_drama,is_horror,box_office_worldwide
Iron Man,2008,2,1,3,2,0,1,0,1,1,1,0,0,0,0,1024374562
Iron Man 2,2010,2,1,3,2,1,1,0,1,1,1,0,0,0,0,956184321
Iron Man 3,2013,2,1,3,2,1,1,0,1,1,1,0,0,0,0,1589923456
Captain America: The First Avenger,2011,1,1,3,2,0,0,0,1,0,1,0,0,0,0,505973211
Captain America: Civil War,2016,2,1,3,2,1,0,0,1,1,1,0,0,0,0,1456789321
Thor,2011,1,1,3,2,0,0,0,1,1,1,0,0,0,0,612345876
Thor: Ragnarok,2017,2,1,3,2,1,0,0,1,1,1,1,0,0,0,987654321
Black Panther,2018,2,1,3,2,0,0,0,1,1,1,0,0,1,0,1623456789
Black Panther: Wakanda Forever,2022,2,1,3,2,1,0,0,1,1,1,0,0,1,0,1045678321
Doctor Strange,2016,2,1,3,2,0,0,0,1,1,1,0,0,0,0,823456987
Doctor Strange in the Multiverse of Madness,2022,2,1,3,2,1,0,0,1,1,1,0,0,0,0,1109876543
Guardians of the Galaxy,2014,2,1,3,2,0,0,0,1,1,1,1,0,0,0,987654123
Guardians of the Galaxy Vol. 2,2017,2,1,3,2,1,0,0,1,1,1,1,0,0,0,1045678123
Guardians of the Galaxy Vol. 3,2023,2,1,3,2,1,0,0,1,1,1,1,0,1,0,957321654
Spider-Man,2002,2,1,3,2,0,1,0,1,0,1,0,0,0,0,1234567890
Spider-Man 2,2004,2,1,3,2,1,1,0,1,0,1,0,0,0,0,1156789321
Spider-Man 3,2007,2,1,3,2,1,1,0,1,0,1,0,0,0,0,1123456789
The Amazing Spider-Man,2012,2,1,3,2,0,0,0,1,0,1,0,0,0,0,923456789
The Amazing Spider-Man 2,2014,2,1,3,2,1,0,0,1,0,1,0,0,0,0,876543210
Spider-Man: Homecoming,2017,2,1,3,2,0,0,0,1,1,1,1,0,0,0,1012345678
Spider-Man: Far From Home,2019,2,1,3,2,1,0,0,1,1,1,1,0,0,0,1324567890
Spider-Man: No Way Home,2021,2,1,3,2,1,0,0,1,1,1,1,0,0,0,2456789321
Deadpool,2016,1,1,3,2,0,0,0,1,0,1,1,0,0,0,987654321
Deadpool 2,2018,1,1,3,2,1,0,0,1,0,1,1,0,0,0,912345678
Logan,2017,1,1,3,2,0,1,0,1,0,1,0,0,1,0,845678321
The Batman,2022,2,1,3,2,0,1,0,1,0,1,0,0,1,0,987654987
Batman Begins,2005,2,1,3,2,0,2,0,1,0,1,0,0,1,0,612345789
The Dark Knight,2008,2,1,3,2,1,2,0,1,0,1,0,0,1,0,1456789321
The Dark Knight Rises,2012,2,1,3,2,1,2,0,1,0,1,0,0,1,0,1345678234
Man of Steel,2013,2,1,3,2,0,0,0,1,1,1,0,0,0,0,876543219
Batman v Superman: Dawn of Justice,2016,2,1,3,2,0,0,0,1,1,1,0,0,0,0,1012345987
Justice League,2017,2,1,3,2,0,0,0,1,1,1,0,0,0,0,789654123
Aquaman,2018,2,1,3,2,0,0,0,1,1,1,0,0,0,0,1345678901
Wonder Woman,2017,2,1,3,2,0,0,0,1,0,1,0,0,1,0,987654321
Venom,2018,1,1,3,2,0,0,0,1,1,1,0,0,0,1,912345678
Venom: Let There Be Carnage,2021,1,1,3,2,1,0,0,1,1,1,0,0,0,1,678945321
Morbius,2022,1,1,3,2,0,0,0,1,1,1,0,0,0,1,234567890
Mad Max: Fury Road,2015,2,0,0,2,0,1,0,1,1,0,0,0,0,0,567890123
John Wick,2014,0,1,4,2,0,1,0,1,0,0,0,0,0,0,123456789
John Wick: Chapter 2,2017,1,1,4,2,1,1,0,1,0,0,0,0,0,0,234567890
John Wick: Chapter 3,2019,1,1,4,2,1,1,0,1,0,0,0,0,0,0,345678901
John Wick: Chapter 4,2023,2,1,4,2,1,1,0,1,0,0,0,0,0,0,567890123
The Matrix Reloaded,2003,2,1,4,2,1,1,0,1,1,0,0,0,0,0,987654321
The Matrix Revolutions,2003,2,1,4,2,1,1,0,1,1,0,0,0,0,0,876543219
The Matrix Resurrections,2021,2,1,4,2,1,1,0,1,1,0,0,0,1,0,345678901
Interstellar,2014,2,0,0,2,0,2,0,0,1,0,0,0,1,0,987654321
Blade Runner 2049,2017,2,1,2,2,1,1,0,1,1,0,0,0,1,0,345678123
Edge of Tomorrow,2014,2,0,0,2,0,0,0,1,1,0,0,0,0,0,567890321
Pacific Rim,2013,2,1,2,2,0,0,0,1,1,0,0,0,0,0,678901234
Pacific Rim: Uprising,2018,2,1,2,2,1,0,0,1,1,0,0,0,0,0,456789012
Get Out,2017,0,0,0,2,0,1,0,0,0,0,0,0,1,1,345678901
Us,2019,1,0,0,2,0,1,0,0,0,0,0,0,1,1,456789012
The Conjuring,2013,0,1,5,2,0,0,0,0,0,0,0,0,0,1,456789123
The Conjuring 2,2016,1,1,5,2,1,0,0,0,0,0,0,0,0,1,567890234
Annabelle,2014,0,1,5,2,0,0,0,0,0,0,0,0,0,1,345678123
Annabelle: Creation,2017,0,1,5,2,1,0,0,0,0,0,0,0,0,1,456789345
The Nun,2018,1,1,5,2,0,0,0,0,0,0,0,0,0,1,567890456
Frozen,2013,2,1,3,2,0,0,1,0,0,0,1,1,0,0,1678901234
Frozen II,2019,2,1,3,2,1,0,1,0,0,0,1,1,0,0,1890123456
Toy Story 3,2010,2,1,4,2,1,0,1,0,0,0,1,1,0,0,1456789012
Toy Story 4,2019,2,1,4,2,1,0,1,0,0,0,1,1,0,0,1345678901
Finding Nemo,2003,2,1,2,2,0,0,1,0,0,0,1,1,0,0,1234567890
Finding Dory,2016,2,1,2,2,1,0,1,0,0,0,1,1,0,0,1123456789
Minions,2015,2,1,4,2,0,0,1,0,0,0,1,1,0,0,1456789123
Minions: The Rise of Gru,2022,2,1,4,2,1,0,1,0,0,0,1,1,0,0,1234567898
Despicable Me,2010,1,1,4,2,0,0,1,0,0,0,1,1,0,0,987654321
Despicable Me 2,2013,2,1,4,2,1,0,1,0,0,0,1,1,0,0,1234567890
The Lion King,2019,2,1,5,2,0,0,1,0,0,0,1,1,1,0,1789012345
Aladdin,2019,2,1,5,2,0,0,1,0,0,0,1,0,0,0,1345678901
Beauty and the Beast,2017,2,1,5,2,0,0,1,0,0,0,1,0,1,0,1456789012
The Greatest Showman,2017,1,0,0,2,0,0,1,0,0,0,1,0,1,0,567890123
La La Land,2016,1,0,0,2,0,1,0,0,0,0,1,0,1,0,567890123
Jumanji: Welcome to the Jungle,2017,2,1,3,2,0,0,1,1,0,0,1,0,0,0,1234567890
Jumanji: The Next Level,2019,2,1,3,2,1,0,1,1,0,0,1,0,0,0,1123456789
Wedding Crashers,2005,1,0,0,2,0,0,0,0,0,0,1,0,0,0,466872356
Ted,2012,1,0,0,2,0,0,0,0,0,0,1,0,0,0,779661755
Strays,2023,0,0,0,2,0,0,0,0,0,0,1,0,0,0,38019041
The Happytime Murders,2018,0,0,0,2,0,0,0,1,0,0,1,0,0,1,35265830
Step Brothers,2008,1,0,0,2,0,0,0,0,0,0,1,0,0,0,191559609
Horrible Bosses,2011,1,0,0,2,0,0,0,0,0,0,1,0,0,0,304021800
The Hangover Part II,2011,1,1,1,2,1,0,0,0,0,0,1,0,0,0,839803950
21 Jump Street,2012,1,1,1,2,0,0,0,1,0,0,1,0,0,0,284389147
We're the Millers,2013,1,0,0,2,0,0,0,0,0,0,1,0,0,0,370117985
The Devil Wears Prada,2006,1,0,0,2,0,0,0,0,0,0,1,0,1,0,520719096
The Intern,2015,1,0,0,2,0,0,0,0,0,0,1,0,1,0,267744605
Cruella,2021,1,1,1,2,0,0,0,0,0,0,1,0,1,0,268287888
Morning Glory,2010,1,0,0,2,0,0,0,0,0,0,1,0,1,0,88282846
13 Going on 30,2004,1,0,0,2,0,0,0,0,0,0,1,0,1,0,100228375
27 Dresses,2008,1,0,0,2,0,0,0,0,0,0,1,0,1,0,239618858
